DESCRIBE THE ISSUE HERE,Status,Comments
Ch1 Bubble Bobble bullets explode on hitting a solid instead of bouncing off.,X ,
oMarioBreakBlock break animation is too fast.,X ,"done with speed, waiting for the Great Speed Thing"
AP level up animation too fast.,X ,Great Speed Thing
Mario block timer until sprite change or destruction is probably wrong.,resolved,
Mario blocks ignore pauses.,X ,
Gate1 cutscene in first Muncher room isnÅft working right.,X ,
Mario bumpers fall too fast.,X ,
"Pipe animation jittery at 120fps, moves player 0.5 pixels per frame.",X ,
oDiveBird doesnÅft aim its attack correctly.,resolved,
"Some death animations are too fast, consider changing the spawn conditions in the script enemyDefeat.",X ,
Arrow pickups fall too quickly.,X ,
Can no longer walk through Zelda overworld encounters.,X ,Was this a bug or intended? Needs clarification.
